order_id,customer_id,order_date,total_amount,order_status
58,352,2025-11-21,16.47,Completed
59,394,2025-11-21,102.95,Completed
60,132,2025-11-21,421.41,Completed
61,210,2025-11-21,15.97,Completed
62,25,2025-11-21,3032.44,Completed
63,62,2025-11-21,2861.93,Completed
64,163,2025-11-21,1140.96,Completed
65,190,2025-11-21,99.98,Completed
66,176,2025-11-21,3512.92,Completed
67,41,2025-11-21,856.94,Completed
68,156,2025-11-21,584.91,Completed
69,91,2025-11-21,19.46,Completed
70,393,2025-11-21,216.39,Completed
71,466,2025-11-21,28965.9,Completed
72,230,2025-11-21,89.97,Completed
73,55,2025-11-21,5750.91,Completed
74,359,2025-11-21,90.8,Completed
75,111,2025-11-21,79.98,Completed
76,150,2025-11-21,106.95,Completed
77,455,2025-11-21,4344.92,Completed
78,168,2025-11-21,1629.98,Completed
79,25,2025-11-21,3051.91,Completed
80,50,2025-11-21,38.97,Completed
81,448,2025-11-21,149.97,Completed
82,354,2025-11-21,155.95,Completed
83,365,2025-11-21,13939.95,Completed
84,21,2025-11-21,25.96,Completed
85,248,2025-11-21,17.97,Completed
86,366,2025-11-21,4259.95,Completed
87,110,2025-11-21,246.92,Completed
88,9,2025-11-21,278.96,Completed
89,474,2025-11-21,239.96,Completed
90,361,2025-11-21,317.95,Completed
91,479,2025-11-21,259.98,Completed
92,146,2025-11-21,13022.94,Completed
93,261,2025-11-21,171.97,Completed
94,337,2025-11-21,5813.51,Completed
95,407,2025-11-21,67.92,Completed
96,201,2025-11-21,35.94,Completed
97,87,2025-11-21,6.96,Completed
98,367,2025-11-21,4097.92,Completed
99,167,2025-11-21,2.58,Completed
100,403,2025-11-21,396.91,Completed
101,69,2025-11-21,1523.97,Completed
102,172,2025-11-21,209.94,Completed
103,172,2025-11-21,28425.91,Completed
104,420,2025-11-21,419.96,Completed
105,117,2025-11-21,315.92,Completed
106,485,2025-11-22,349.91,Completed
107,24,2025-11-22,319.96,Completed
108,4,2025-11-22,127.91,Completed
109,389,2025-11-22,2615.92,Completed
110,72,2025-11-22,689.96,Completed
111,295,2025-11-22,56.94,Completed
112,222,2025-11-22,1629.44,Completed
113,470,2025-11-22,58.95,Completed
114,254,2025-11-22,265.92,Completed
115,63,2025-11-22,175.95,Completed
116,183,2025-11-22,655.92,Completed
117,57,2025-11-22,2121.42,Completed
118,357,2025-11-22,89.99,Completed
119,174,2025-11-22,59.97,Completed
120,439,2025-11-22,27129.94,Completed
121,416,2025-11-22,1815.97,Completed
122,241,2025-11-22,1529.98,Completed
123,470,2025-11-22,1799.99,Completed
124,449,2025-11-22,456.91,Completed
125,6,2025-11-22,39061.24,Completed
126,400,2025-11-22,160.51,Completed
127,284,2025-11-22,1556.42,Completed
128,131,2025-11-22,2555.91,Completed
129,33,2025-11-22,28.97,Completed
130,51,2025-11-22,17.97,Completed
131,152,2025-11-22,28119.96,Completed
132,14,2025-11-22,303.97,Completed
133,406,2025-11-22,2139.96,Completed
134,118,2025-11-22,45.94,Completed
135,415,2025-11-22,6.87,Completed
136,300,2025-11-22,120.92,Completed
137,378,2025-11-22,7.47,Completed
138,471,2025-11-22,141.43,Completed
139,207,2025-11-22,299.99,Completed
140,146,2025-11-22,1882.45,Completed
141,356,2025-11-22,32.94,Completed
142,39,2025-11-22,9.99,Completed
143,170,2025-11-22,5608.92,Completed
144,180,2025-11-22,3.87,Completed
145,280,2025-11-22,139.41,Completed
146,354,2025-11-22,3.98,Completed
147,187,2025-11-22,3063.94,Completed
148,94,2025-11-22,3159.93,Completed
149,103,2025-11-22,39042.94,Completed
150,261,2025-11-22,437.94,Completed
151,211,2025-11-22,3799.98,Completed
152,159,2025-11-22,1054.94,Completed
153,230,2025-11-22,93.98,Completed
154,141,2025-11-22,59.96,Completed
155,423,2025-11-22,164.95,Completed
156,300,2025-11-22,732.51,Completed
157,472,2025-11-22,251.94,Completed
158,231,2025-11-22,16.96,Completed
159,379,2025-11-22,3003.96,Completed
160,230,2025-11-22,13.44,Completed
161,52,2025-11-22,1772.93,Completed
162,482,2025-11-22,20.97,Completed
163,2,2025-11-22,0.99,Completed
164,409,2025-11-22,179.98,Completed
165,210,2025-11-22,71.94,Completed
166,374,2025-11-22,56.92,Completed
167,399,2025-11-22,179.97,Completed
168,212,2025-11-22,44.96,Completed
169,183,2025-11-22,431.41,Completed
170,394,2025-11-22,2.97,Completed
171,271,2025-11-22,5319.95,Completed
172,176,2025-11-22,28517.94,Completed
173,159,2025-11-22,326.94,Completed
174,274,2025-11-22,29.99,Completed
175,268,2025-11-22,2742.3,Completed
176,39,2025-11-23,11.98,Completed
177,375,2025-11-23,35.96,Completed
178,417,2025-11-23,60.42,Completed
179,236,2025-11-23,11339.94,Completed
180,187,2025-11-23,2953.9,Completed
181,477,2025-11-23,184.73,Completed
182,311,2025-11-23,515.95,Completed
183,80,2025-11-23,19.99,Completed
184,407,2025-11-23,4119.96,Completed
185,367,2025-11-23,179.98,Completed
186,320,2025-11-23,372.92,Completed
187,374,2025-11-23,2999.98,Completed
188,336,2025-11-23,17.98,Completed
189,65,2025-11-23,9.99,Completed
190,477,2025-11-23,93.92,Completed
191,357,2025-11-23,20510.89,Completed
192,9,2025-11-23,25.98,Completed
193,149,2025-11-23,3402.93,Completed
194,110,2025-11-23,144.93,Completed
195,474,2025-11-23,4317.93,Completed
196,78,2025-11-23,396.24,Completed
197,402,2025-11-23,59.97,Completed
198,484,2025-11-23,5679.91,Completed
199,480,2025-11-23,292.94,Completed
200,246,2025-11-23,49.44,Completed
201,75,2025-11-23,2399.97,Completed
202,305,2025-11-23,28134.94,Completed
203,412,2025-11-23,39.96,Completed
204,348,2025-11-23,277.44,Completed
205,341,2025-11-23,19.98,Completed
206,149,2025-11-23,150.93,Completed
207,50,2025-11-23,2.97,Completed
208,286,2025-11-23,76.43,Completed
209,430,2025-11-23,389.94,Completed
210,99,2025-11-23,1880.42,Completed
211,271,2025-11-23,13073.95,Completed
212,189,2025-11-23,60.93,Completed
213,254,2025-11-23,53.83,Completed
214,173,2025-11-23,69.99,Completed
215,281,2025-11-23,275.4,Completed
216,67,2025-11-23,305.94,Completed
217,24,2025-11-23,215.9,Completed
218,496,2025-11-23,288.94,Completed
219,335,2025-11-23,98.98,Completed
220,162,2025-11-23,159.98,Completed
221,428,2025-11-23,902.95,Completed
222,123,2025-11-23,243.95,Completed
223,74,2025-11-23,4.28,Completed
224,202,2025-11-23,22.97,Completed
225,447,2025-11-23,39.98,Completed
226,170,2025-11-23,29.97,Completed
227,428,2025-11-23,638.95,Completed
228,500,2025-11-23,161.39,Completed
229,342,2025-11-23,7051.92,Completed
230,119,2025-11-23,229.96,Completed
231,448,2025-11-23,8623.91,Completed
232,500,2025-11-23,85.97,Completed
233,54,2025-11-24,8999.99,Completed
234,441,2025-11-24,239.98,Completed
235,69,2025-11-24,48.93,Completed
236,233,2025-11-24,291.92,Completed
237,266,2025-11-24,29.93,Completed
238,240,2025-11-24,49.97,Completed
239,143,2025-11-24,6.48,Completed
240,196,2025-11-24,6066.92,Completed
241,411,2025-11-24,26117.23,Completed
242,92,2025-11-24,115.93,Completed
243,451,2025-11-24,1799.99,Completed
244,278,2025-11-24,31.98,Completed
245,251,2025-11-24,749.9,Completed
246,117,2025-11-24,49.99,Completed
247,18,2025-11-24,16.47,Completed
248,22,2025-11-24,3209.95,Completed
249,125,2025-11-24,7.99,Completed
250,244,2025-11-24,132.48,Completed
251,411,2025-11-24,200.95,Completed
252,142,2025-11-24,9.98,Completed
253,366,2025-11-24,28140.91,Completed
254,275,2025-11-24,21.97,Completed
255,380,2025-11-24,70.91,Completed
256,205,2025-11-24,35.55,Completed
257,208,2025-11-24,69.97,Completed
258,353,2025-11-24,109.99,Completed
259,242,2025-11-24,32.97,Completed
260,87,2025-11-24,843.95,Completed
261,432,2025-11-24,387.94,Completed
262,201,2025-11-24,11.97,Completed
263,485,2025-11-24,38.97,Completed
264,280,2025-11-24,77.94,Completed
265,448,2025-11-24,158.96,Completed
266,413,2025-11-24,24.96,Completed
267,401,2025-11-24,25.97,Completed
268,468,2025-11-24,19.98,Completed
269,37,2025-11-24,180.7,Completed
270,449,2025-11-24,1420.96,Completed
271,163,2025-11-24,39.98,Completed
272,242,2025-11-24,562.21,Completed
273,216,2025-11-24,209.97,Completed
274,262,2025-11-24,214.94,Completed
275,134,2025-11-24,2505.97,Completed
276,469,2025-11-24,273.96,Completed
277,333,2025-11-25,169.96,Completed
278,387,2025-11-25,27003.96,Completed
279,244,2025-11-25,4548.73,Completed
280,60,2025-11-25,1718.94,Completed
281,252,2025-11-25,1617.43,Completed
282,377,2025-11-25,304.42,Completed
283,9,2025-11-25,808.76,Completed
284,451,2025-11-25,14.47,Completed
285,57,2025-11-25,2175.96,Completed
286,376,2025-11-25,101.93,Completed
287,456,2025-11-25,5447.9,Completed
288,193,2025-11-25,3909.91,Completed
289,295,2025-11-25,2866.91,Completed
290,430,2025-11-25,19.99,Completed
291,321,2025-11-25,1513.95,Completed
292,171,2025-11-25,257.43,Completed
293,166,2025-11-25,5311.93,Completed
294,347,2025-11-25,459.92,Completed
295,391,2025-11-25,310.95,Completed
296,235,2025-11-25,179.98,Completed
297,25,2025-11-25,16.99,Completed
298,115,2025-11-25,18019.53,Completed
299,496,2025-11-25,97.54,Completed
300,95,2025-11-26,50.93,Completed
301,351,2025-11-26,1870.95,Completed
302,429,2025-11-26,9110.92,Completed
303,249,2025-11-26,1.58,Completed
304,414,2025-11-26,4019.96,Completed
305,92,2025-11-26,109.43,Completed
306,170,2025-11-26,5.97,Completed
307,111,2025-11-26,84.96,Completed
308,329,2025-11-26,1886.93,Completed
309,16,2025-11-26,208.97,Completed
310,395,2025-11-26,40.95,Completed
311,481,2025-11-26,590.96,Completed
312,254,2025-11-26,3234.91,Completed
313,366,2025-11-26,269.95,Completed
314,306,2025-11-26,261.95,Completed
315,435,2025-11-26,62.94,Completed
316,361,2025-11-26,4999.98,Completed
317,410,2025-11-26,149.97,Completed
318,312,2025-11-26,1529.97,Completed
319,289,2025-11-26,119.97,Completed
320,99,2025-11-26,537.93,Completed
321,235,2025-11-26,743.29,Completed
322,147,2025-11-26,45.97,Completed
323,431,2025-11-26,1686.81,Completed
324,492,2025-11-26,97.97,Completed
325,381,2025-11-26,329.97,Completed
326,330,2025-11-26,27039.94,Completed
327,154,2025-11-26,1525.94,Completed
328,231,2025-11-26,25.98,Completed
329,227,2025-11-26,59.97,Completed
330,196,2025-11-26,55.97,Completed
331,185,2025-11-26,143.82,Completed
332,26,2025-11-26,48.93,Completed
333,14,2025-11-26,1099.99,Completed
334,103,2025-11-26,99.96,Completed
335,100,2025-11-26,5.99,Completed
336,480,2025-11-26,141.96,Completed
337,303,2025-11-26,6.46,Completed
338,370,2025-11-26,39.98,Completed
339,126,2025-11-26,3811.95,Completed
340,250,2025-11-26,5401.96,Completed
341,184,2025-11-26,11.98,Completed
342,43,2025-11-26,59.97,Completed
343,458,2025-11-26,245.93,Completed
344,69,2025-11-26,9160.92,Completed
345,322,2025-11-26,224.91,Completed
346,473,2025-11-26,5013.55,Completed
347,455,2025-11-26,18034.94,Completed
348,370,2025-11-26,9.99,Completed
349,334,2025-11-26,31.96,Completed
350,433,2025-11-26,3999.98,Completed
351,317,2025-11-26,4662.32,Completed
352,423,2025-11-26,17.98,Completed
353,46,2025-11-26,71.52,Completed
354,79,2025-11-26,3931.89,Completed
355,178,2025-11-26,1131.95,Completed
356,62,2025-11-26,251.94,Completed
357,441,2025-11-27,11.97,Completed
358,49,2025-11-27,53.96,Completed
359,223,2025-11-27,5.99,Completed
360,410,2025-11-27,9139.94,Completed
361,205,2025-11-27,73.83,Completed
362,337,2025-11-27,19.99,Completed
363,301,2025-11-27,7651.93,Completed
364,164,2025-11-27,262.94,Completed
365,241,2025-11-27,3818.94,Completed
366,438,2025-11-27,89.96,Completed
367,256,2025-11-27,23899.97,Completed
368,489,2025-11-27,290.91,Completed
369,169,2025-11-27,4499.97,Completed
370,54,2025-11-27,97.91,Completed
371,73,2025-11-27,7.47,Completed
372,113,2025-11-27,25.97,Completed
373,286,2025-11-27,50.95,Completed
374,238,2025-11-27,4.47,Completed
375,93,2025-11-27,2453.94,Completed
376,473,2025-11-27,54.96,Completed
377,75,2025-11-27,11029.95,Completed
378,293,2025-11-27,179.98,Completed
379,254,2025-11-27,1218.93,Completed
380,174,2025-11-27,23.97,Completed
381,86,2025-11-27,320.91,Completed
382,96,2025-11-27,1533.96,Completed
383,462,2025-11-27,38.97,Completed
384,348,2025-11-27,14.96,Completed
385,10,2025-11-27,3.99,Completed
386,314,2025-11-27,299.99,Completed
387,71,2025-11-27,350.94,Completed
388,41,2025-11-27,4999.98,Completed
389,317,2025-11-27,96.46,Completed
390,85,2025-11-27,5116.91,Completed
391,4,2025-11-27,65.94,Completed
392,149,2025-11-27,184.96,Completed
393,481,2025-11-27,39199.92,Completed
394,230,2025-11-27,28110.44,Completed
395,178,2025-11-27,65.52,Completed
396,89,2025-11-27,10.99,Completed
397,294,2025-11-27,263.92,Completed
398,338,2025-11-27,4.47,Completed
399,448,2025-11-27,1530.96,Completed
400,356,2025-11-27,97.97,Completed
401,222,2025-11-27,31.96,Completed
402,231,2025-11-27,38.97,Completed
403,258,2025-11-27,179.97,Completed
404,132,2025-11-27,209.93,Completed
405,82,2025-11-27,1339.93,Completed
406,270,2025-11-27,40.74,Completed
407,298,2025-11-28,312.51,Completed
408,88,2025-11-28,34.98,Completed
409,484,2025-11-28,56.96,Completed
410,303,2025-11-28,299.94,Completed
411,132,2025-11-28,89.99,Completed
412,135,2025-11-28,114.96,Completed
413,138,2025-11-28,3340.94,Completed
414,266,2025-11-28,1869.95,Completed
415,26,2025-11-28,209.97,Completed
416,298,2025-11-28,491.92,Completed
417,33,2025-11-28,7.48,Completed
418,367,2025-11-28,1799.99,Completed
419,32,2025-11-28,2170.75,Completed
420,158,2025-11-28,44.97,Completed
421,347,2025-11-28,209.96,Completed
422,351,2025-11-28,27.84,Completed
423,314,2025-11-28,128.94,Completed
424,238,2025-11-28,29.98,Completed
425,315,2025-11-28,7.98,Completed
426,389,2025-11-28,14137.42,Completed
427,64,2025-11-28,119.99,Completed
428,113,2025-11-28,33.45,Completed
429,486,2025-11-29,15.98,Completed
430,67,2025-11-29,177.95,Completed
431,58,2025-11-29,9.99,Completed
432,432,2025-11-29,65.95,Completed
433,269,2025-11-29,44.95,Completed
434,219,2025-11-29,79.99,Completed
435,284,2025-11-29,2431.95,Completed
436,221,2025-11-29,4.99,Completed
437,212,2025-11-29,9123.96,Completed
438,417,2025-11-29,26.94,Completed
439,369,2025-11-29,89.99,Completed
440,354,2025-11-29,33.98,Completed
441,185,2025-11-29,655.93,Completed
442,324,2025-11-29,10.99,Completed
443,151,2025-11-29,2999.98,Completed
444,86,2025-11-29,8999.99,Completed
445,151,2025-11-29,53.93,Completed
446,98,2025-11-29,135.52,Completed
447,96,2025-11-29,19.98,Completed
448,205,2025-11-29,182.34,Completed
449,162,2025-11-29,25043.91,Completed
450,14,2025-11-29,6.99,Completed
451,41,2025-11-29,132.45,Completed
452,170,2025-11-29,73.94,Completed
453,97,2025-11-29,21.47,Completed
454,292,2025-11-29,419.42,Completed
455,22,2025-11-29,79.98,Completed
456,439,2025-11-29,84.95,Completed
457,370,2025-11-29,41.94,Completed
458,145,2025-11-29,13.98,Completed
459,193,2025-11-29,3.98,Completed
460,193,2025-11-29,250.93,Completed
461,287,2025-11-29,5.99,Completed
462,386,2025-11-29,11.97,Completed
463,225,2025-11-29,25759.93,Completed
464,327,2025-11-29,33104.91,Completed
465,248,2025-11-29,124.96,Completed
466,465,2025-11-29,97.93,Completed
467,300,2025-11-30,336.9,Completed
468,344,2025-11-30,100.92,Completed
469,442,2025-11-30,6029.93,Completed
470,327,2025-11-30,164.96,Completed
471,209,2025-11-30,21.76,Completed
472,271,2025-11-30,1007.96,Completed
473,486,2025-11-30,4.99,Completed
474,380,2025-11-30,25.98,Completed
475,329,2025-11-30,18039.97,Completed
476,129,2025-11-30,66.9,Completed
477,99,2025-11-30,29.97,Completed
478,189,2025-11-30,1679.95,Completed
479,50,2025-11-30,18.04,Completed
480,53,2025-11-30,45.94,Completed
481,272,2025-11-30,409.9,Completed
482,423,2025-11-30,24.45,Completed
483,36,2025-11-30,0.79,Completed
484,127,2025-11-30,6206.91,Completed
485,167,2025-11-30,5.98,Completed
486,256,2025-11-30,280.95,Completed
487,135,2025-11-30,3499.97,Completed
488,423,2025-11-30,34.99,Completed
489,225,2025-11-30,1899.99,Completed
490,204,2025-11-30,684.92,Completed
491,230,2025-11-30,3029.92,Completed
492,279,2025-11-30,1839.95,Completed
493,223,2025-11-30,9799.98,Completed
494,466,2025-11-30,142.45,Completed
495,373,2025-11-30,43.96,Completed
496,464,2025-11-30,2538.92,Completed
497,196,2025-11-30,59.97,Completed
498,406,2025-11-30,1516.95,Completed
499,268,2025-11-30,23.97,Completed
500,448,2025-11-30,35.93,Completed
501,21,2025-11-30,115.96,Completed
502,277,2025-11-30,29.98,Completed
503,268,2025-11-30,79.99,Completed
504,473,2025-12-01,454.96,Completed
505,53,2025-12-01,229.38,Completed
506,326,2025-12-01,24079.93,Completed
507,36,2025-12-01,164.43,Completed
508,302,2025-12-01,33052.93,Completed
509,247,2025-12-01,473.89,Completed
510,475,2025-12-01,1072.94,Completed
511,120,2025-12-01,309.96,Completed
512,461,2025-12-01,28549.96,Completed
513,330,2025-12-01,28087.95,Completed
514,249,2025-12-01,107.94,Completed
515,159,2025-12-01,234.91,Completed
516,203,2025-12-01,5465.89,Completed
517,425,2025-12-01,125.95,Completed
518,499,2025-12-01,96.95,Completed
519,354,2025-12-01,17.98,Completed
520,361,2025-12-01,384.9,Completed
521,336,2025-12-01,355.93,Completed
522,209,2025-12-01,82.94,Completed
523,311,2025-12-01,3355.92,Completed
524,253,2025-12-01,8799.89,Completed
525,135,2025-12-01,1499.99,Completed
526,396,2025-12-01,5222.93,Completed
527,162,2025-12-01,99.99,Completed
528,264,2025-12-01,163.27,Completed
529,151,2025-12-01,109.98,Completed
530,493,2025-12-01,30.73,Completed
531,396,2025-12-01,26.97,Completed
532,500,2025-12-01,2709.93,Completed
533,408,2025-12-01,105.93,Completed
534,206,2025-12-01,20.97,Completed
535,407,2025-12-01,218.91,Completed
536,39,2025-12-01,7.47,Completed
537,230,2025-12-01,2234.97,Completed
538,164,2025-12-01,1617.96,Completed
539,258,2025-12-01,19.99,Completed
540,364,2025-12-01,1506.98,Completed
541,355,2025-12-01,268.93,Completed
542,216,2025-12-01,42353.88,Completed
543,132,2025-12-01,5405.94,Completed
544,314,2025-12-01,266.97,Completed
545,260,2025-12-01,51.54,Completed
546,400,2025-12-02,152.94,Completed
547,189,2025-12-02,26064.94,Completed
548,447,2025-12-02,149.97,Completed
549,87,2025-12-02,17.45,Completed
550,125,2025-12-02,65.25,Completed
551,363,2025-12-02,17.28,Completed
552,42,2025-12-02,282.93,Completed
553,139,2025-12-02,23.97,Completed
554,408,2025-12-02,176.45,Completed
555,187,2025-12-02,165.91,Completed
556,284,2025-12-02,175.94,Completed
557,194,2025-12-02,19.99,Completed
558,130,2025-12-02,59.25,Completed
559,455,2025-12-02,4199.97,Completed
560,40,2025-12-02,25.98,Completed
561,102,2025-12-02,3004.97,Completed
562,283,2025-12-02,1704.91,Completed
563,492,2025-12-02,3.99,Completed
564,393,2025-12-02,11.98,Completed
565,267,2025-12-02,13.46,Completed
566,292,2025-12-02,4006.94,Completed
567,296,2025-12-02,9061.94,Completed
568,220,2025-12-02,12.99,Completed
569,226,2025-12-02,13999.99,Completed
570,181,2025-12-02,11.98,Completed
571,440,2025-12-02,229.93,Completed
572,498,2025-12-02,3193.94,Completed
573,282,2025-12-02,382.29,Completed
574,98,2025-12-02,109.96,Completed
575,187,2025-12-02,1847.94,Completed
576,84,2025-12-02,15.99,Completed
577,491,2025-12-02,8.94,Completed
578,114,2025-12-02,38.97,Completed
579,14,2025-12-02,35.98,Completed
580,4,2025-12-02,159.94,Completed
581,84,2025-12-02,3611.95,Completed
582,263,2025-12-02,62.26,Completed
583,26,2025-12-02,76.94,Completed
584,15,2025-12-02,14.99,Completed
585,220,2025-12-02,91.93,Completed
586,95,2025-12-02,191.91,Completed
587,408,2025-12-02,335.92,Completed
588,347,2025-12-02,2270.93,Completed
589,377,2025-12-02,1499.99,Completed
590,267,2025-12-02,169.96,Completed
591,396,2025-12-02,275.94,Completed
592,71,2025-12-02,301.94,Completed
593,430,2025-12-02,289.94,Completed
594,254,2025-12-02,3159.95,Completed
595,431,2025-12-02,322.41,Completed
596,225,2025-12-02,50.94,Completed
597,396,2025-12-02,297.93,Completed
598,179,2025-12-02,6017.95,Completed
599,364,2025-12-02,194.91,Completed
600,68,2025-12-02,13079.98,Completed
601,314,2025-12-02,1619.96,Completed
602,60,2025-12-02,625.96,Completed
603,270,2025-12-02,112.92,Completed
604,366,2025-12-02,1953.95,Completed
605,188,2025-12-02,319.96,Completed
606,389,2025-12-02,79.95,Completed
607,89,2025-12-02,50.97,Completed
608,402,2025-12-02,201.91,Completed
609,76,2025-12-02,3308.96,Completed
610,199,2025-12-02,32523.42,Completed
611,371,2025-12-02,32.95,Completed
612,337,2025-12-02,1614.92,Completed
613,377,2025-12-02,3.99,Completed
614,42,2025-12-02,29.96,Completed
615,303,2025-12-02,351.39,Completed
616,4,2025-12-02,2099.95,Completed
617,436,2025-12-02,29899.97,Completed
618,53,2025-12-03,6049.95,Completed
619,444,2025-12-03,28275.9,Completed
620,32,2025-12-03,18.96,Completed
621,137,2025-12-03,5869.93,Completed
622,235,2025-12-03,4227.93,Completed
623,238,2025-12-03,717.95,Completed
624,418,2025-12-03,46.95,Completed
625,283,2025-12-03,90.92,Completed
626,64,2025-12-03,34.93,Completed
627,57,2025-12-03,89.99,Completed
628,27,2025-12-03,4119.94,Completed
629,99,2025-12-03,62.94,Completed
630,98,2025-12-03,69.94,Completed
631,205,2025-12-03,74.97,Completed
632,188,2025-12-03,18025.94,Completed
633,281,2025-12-03,64.93,Completed
634,376,2025-12-03,13.96,Completed
635,254,2025-12-03,77.82,Completed
636,321,2025-12-03,287.43,Completed
637,98,2025-12-03,66.41,Completed
638,130,2025-12-03,2424.96,Completed
639,81,2025-12-03,7.98,Completed
640,450,2025-12-03,5399.97,Completed
641,69,2025-12-03,27017.93,Completed
642,164,2025-12-03,3.87,Completed
643,370,2025-12-03,1299.96,Completed
644,62,2025-12-03,142.91,Completed
645,38,2025-12-03,14026.96,Completed
646,469,2025-12-03,2499.99,Completed
647,78,2025-12-03,7563.93,Completed
648,370,2025-12-03,84.93,Completed
649,450,2025-12-03,4999.98,Completed
650,390,2025-12-03,22018.94,Completed
651,228,2025-12-03,1079.95,Completed
652,139,2025-12-03,179.98,Completed
653,487,2025-12-03,2849.96,Completed
654,45,2025-12-03,95.97,Completed
655,132,2025-12-03,52.93,Completed
656,467,2025-12-03,2.49,Completed
657,351,2025-12-03,17.95,Completed
658,23,2025-12-03,1899.99,Completed
659,88,2025-12-03,14.99,Completed
660,330,2025-12-03,5081.92,Completed
661,50,2025-12-03,215.93,Completed
662,459,2025-12-03,5.97,Completed
663,50,2025-12-03,346.92,Completed
664,249,2025-12-03,40.75,Completed
665,253,2025-12-03,785.42,Completed
666,413,2025-12-03,1807.46,Completed
667,171,2025-12-03,13.98,Completed
668,114,2025-12-03,149.97,Completed
669,103,2025-12-03,11.97,Completed
670,136,2025-12-03,336.91,Completed
671,487,2025-12-03,39079.91,Completed
672,429,2025-12-03,19.98,Completed
673,431,2025-12-03,34.99,Completed
674,240,2025-12-03,56.96,Completed
675,130,2025-12-03,8.07,Completed
676,286,2025-12-03,385.95,Completed
677,330,2025-12-03,21.96,Completed
678,492,2025-12-03,764.94,Completed
679,470,2025-12-03,14.97,Completed
680,419,2025-12-03,290.94,Completed
681,122,2025-12-03,53.94,Completed
682,32,2025-12-03,9.98,Completed
683,361,2025-12-03,3860.93,Completed
684,45,2025-12-03,164.96,Completed
685,385,2025-12-03,224.94,Completed
686,249,2025-12-03,25.95,Completed
687,368,2025-12-03,109.91,Completed
688,420,2025-12-03,26.97,Completed
689,62,2025-12-03,5045.91,Completed
690,217,2025-12-04,8.99,Completed
691,257,2025-12-04,283.91,Completed
692,362,2025-12-04,92.94,Completed
693,185,2025-12-04,21.93,Completed
694,378,2025-12-04,296.94,Completed
695,23,2025-12-04,104.97,Completed
696,137,2025-12-04,112.97,Completed
697,181,2025-12-04,373.93,Completed
698,314,2025-12-04,92.97,Completed
699,349,2025-12-04,3599.93,Completed
700,254,2025-12-04,86.89,Completed
701,18,2025-12-04,32999.97,Completed
702,329,2025-12-04,3838.95,Completed
703,376,2025-12-04,90.95,Completed
704,285,2025-12-04,53.97,Completed
705,487,2025-12-04,9.98,Completed
706,399,2025-12-04,499.99,Completed
707,418,2025-12-04,9139.97,Completed
708,304,2025-12-04,159.98,Completed
709,169,2025-12-04,179.9,Completed
710,474,2025-12-04,32.97,Completed
711,53,2025-12-04,19.98,Completed
712,37,2025-12-04,182.96,Completed
713,414,2025-12-04,239.96,Completed
714,169,2025-12-04,2534.55,Completed
715,476,2025-12-04,4.98,Completed
716,10,2025-12-04,313.94,Completed
717,77,2025-12-04,3299.97,Completed
718,214,2025-12-04,121.96,Completed
719,343,2025-12-04,217.93,Completed
720,285,2025-12-04,86.32,Completed
721,493,2025-12-04,4499.97,Completed
722,443,2025-12-04,5071.94,Completed
