customer_id,customer_name,city,state,segment
94,Customer 94,City 34,GA,Returning
95,Customer 95,City 33,WA,Returning
96,Customer 96,City 20,MO,VIP
97,Customer 97,City 41,CA,VIP
98,Customer 98,City 30,WA,Returning
99,Customer 99,City 25,WA,Returning
100,Customer 100,City 42,FL,Returning
101,Customer 101,City 21,FL,Returning
102,Customer 102,City 47,MO,New
103,Customer 103,City 28,WA,Returning
104,Customer 104,City 4,GA,New
105,Customer 105,City 3,NY,Returning
106,Customer 106,City 42,IL,VIP
107,Customer 107,City 9,WA,Returning
108,Customer 108,City 7,IL,VIP
109,Customer 109,City 36,CA,Returning
110,Customer 110,City 45,TX,VIP
111,Customer 111,City 4,GA,VIP
112,Customer 112,City 47,MO,New
113,Customer 113,City 5,CA,VIP
114,Customer 114,City 28,GA,New
115,Customer 115,City 12,MO,VIP
116,Customer 116,City 42,NY,New
117,Customer 117,City 3,GA,New
118,Customer 118,City 48,MO,Returning
119,Customer 119,City 26,NY,Returning
120,Customer 120,City 31,TX,New
121,Customer 121,City 6,CA,VIP
122,Customer 122,City 25,WA,VIP
123,Customer 123,City 8,MO,Returning
124,Customer 124,City 16,NY,VIP
125,Customer 125,City 33,GA,New
126,Customer 126,City 49,GA,Returning
127,Customer 127,City 3,FL,New
128,Customer 128,City 28,GA,New
129,Customer 129,City 17,CA,VIP
130,Customer 130,City 3,WA,Returning
131,Customer 131,City 10,MO,VIP
132,Customer 132,City 34,WA,New
133,Customer 133,City 49,TX,VIP
134,Customer 134,City 33,GA,New
135,Customer 135,City 7,NY,Returning
136,Customer 136,City 34,MO,VIP
137,Customer 137,City 34,FL,Returning
138,Customer 138,City 49,GA,New
139,Customer 139,City 45,IL,New
140,Customer 140,City 25,NY,New
141,Customer 141,City 1,CA,Returning
142,Customer 142,City 9,CA,New
143,Customer 143,City 25,GA,New
144,Customer 144,City 48,MO,Returning
145,Customer 145,City 6,MO,Returning
146,Customer 146,City 31,IL,New
147,Customer 147,City 35,IL,VIP
148,Customer 148,City 7,FL,VIP
149,Customer 149,City 38,NY,VIP
150,Customer 150,City 23,WA,VIP
151,Customer 151,City 39,MO,VIP
152,Customer 152,City 15,CA,VIP
153,Customer 153,City 32,GA,New
154,Customer 154,City 18,FL,Returning
155,Customer 155,City 50,MO,New
156,Customer 156,City 24,IL,New
157,Customer 157,City 21,IL,New
158,Customer 158,City 49,TX,Returning
159,Customer 159,City 2,FL,VIP
160,Customer 160,City 5,IL,VIP
161,Customer 161,City 20,MO,New
162,Customer 162,City 5,MO,New
163,Customer 163,City 48,CA,Returning
164,Customer 164,City 43,WA,Returning
165,Customer 165,City 50,IL,New
166,Customer 166,City 13,NY,VIP
167,Customer 167,City 5,FL,VIP
168,Customer 168,City 39,TX,Returning
169,Customer 169,City 12,NY,New
170,Customer 170,City 44,TX,New
171,Customer 171,City 37,GA,New
172,Customer 172,City 45,GA,New
173,Customer 173,City 10,GA,VIP
174,Customer 174,City 7,WA,Returning
175,Customer 175,City 8,WA,New
176,Customer 176,City 32,MO,New
177,Customer 177,City 36,TX,New
178,Customer 178,City 13,CA,Returning
179,Customer 179,City 48,MO,Returning
180,Customer 180,City 29,FL,Returning
181,Customer 181,City 9,CA,Returning
182,Customer 182,City 22,IL,VIP
183,Customer 183,City 46,NY,New
184,Customer 184,City 23,NY,Returning
185,Customer 185,City 39,IL,New
186,Customer 186,City 18,TX,New
187,Customer 187,City 31,TX,VIP
188,Customer 188,City 34,TX,Returning
189,Customer 189,City 41,FL,New
190,Customer 190,City 41,FL,VIP
191,Customer 191,City 17,CA,VIP
192,Customer 192,City 37,TX,VIP
193,Customer 193,City 25,CA,New
194,Customer 194,City 32,FL,New
195,Customer 195,City 30,TX,VIP
196,Customer 196,City 42,CA,Returning
197,Customer 197,City 39,MO,Returning
198,Customer 198,City 8,GA,VIP
199,Customer 199,City 36,GA,VIP
200,Customer 200,City 7,WA,VIP
201,Customer 201,City 44,NY,Returning
202,Customer 202,City 31,FL,VIP
203,Customer 203,City 26,NY,New
204,Customer 204,City 42,IL,Returning
205,Customer 205,City 12,FL,Returning
206,Customer 206,City 33,FL,New
207,Customer 207,City 10,CA,New
208,Customer 208,City 6,FL,VIP
209,Customer 209,City 38,FL,Returning
210,Customer 210,City 48,TX,New
211,Customer 211,City 13,NY,VIP
212,Customer 212,City 11,TX,VIP
213,Customer 213,City 18,FL,VIP
214,Customer 214,City 18,MO,VIP
215,Customer 215,City 33,IL,New
216,Customer 216,City 18,CA,VIP
217,Customer 217,City 24,GA,New
218,Customer 218,City 25,MO,New
219,Customer 219,City 23,MO,VIP
220,Customer 220,City 31,TX,Returning
221,Customer 221,City 11,NY,VIP
222,Customer 222,City 20,IL,VIP
223,Customer 223,City 39,MO,Returning
224,Customer 224,City 31,WA,VIP
225,Customer 225,City 25,GA,New
226,Customer 226,City 42,GA,VIP
227,Customer 227,City 2,IL,New
228,Customer 228,City 19,MO,New
229,Customer 229,City 20,IL,New
230,Customer 230,City 19,GA,New
231,Customer 231,City 19,TX,Returning
232,Customer 232,City 39,WA,Returning
233,Customer 233,City 44,FL,New
234,Customer 234,City 21,WA,Returning
235,Customer 235,City 37,GA,New
236,Customer 236,City 32,TX,New
237,Customer 237,City 21,GA,New
238,Customer 238,City 24,WA,Returning
239,Customer 239,City 37,NY,New
240,Customer 240,City 18,NY,Returning
241,Customer 241,City 20,FL,New
242,Customer 242,City 3,IL,Returning
243,Customer 243,City 36,TX,VIP
244,Customer 244,City 37,MO,VIP
245,Customer 245,City 38,MO,New
246,Customer 246,City 19,GA,VIP
247,Customer 247,City 9,IL,New
248,Customer 248,City 19,NY,VIP
249,Customer 249,City 39,MO,New
250,Customer 250,City 25,TX,Returning
251,Customer 251,City 31,IL,VIP
252,Customer 252,City 4,IL,VIP
253,Customer 253,City 43,FL,Returning
254,Customer 254,City 42,WA,Returning
255,Customer 255,City 31,GA,Returning
256,Customer 256,City 13,MO,VIP
257,Customer 257,City 34,TX,Returning
258,Customer 258,City 43,FL,Returning
259,Customer 259,City 3,GA,New
260,Customer 260,City 13,MO,Returning
261,Customer 261,City 37,FL,Returning
262,Customer 262,City 46,TX,Returning
263,Customer 263,City 3,CA,New
264,Customer 264,City 1,WA,Returning
265,Customer 265,City 45,IL,Returning
266,Customer 266,City 42,WA,Returning
267,Customer 267,City 41,FL,Returning
268,Customer 268,City 30,MO,New
269,Customer 269,City 36,MO,New
270,Customer 270,City 22,IL,New
271,Customer 271,City 17,CA,VIP
272,Customer 272,City 36,WA,New
273,Customer 273,City 16,CA,New
274,Customer 274,City 11,IL,VIP
275,Customer 275,City 44,GA,New
276,Customer 276,City 41,NY,New
277,Customer 277,City 38,GA,VIP
278,Customer 278,City 50,NY,VIP
279,Customer 279,City 39,CA,VIP
280,Customer 280,City 12,TX,Returning
281,Customer 281,City 45,NY,New
282,Customer 282,City 48,MO,New
283,Customer 283,City 50,IL,New
284,Customer 284,City 3,MO,VIP
285,Customer 285,City 21,MO,New
286,Customer 286,City 12,MO,VIP
287,Customer 287,City 37,CA,VIP
288,Customer 288,City 2,CA,Returning
289,Customer 289,City 50,NY,New
290,Customer 290,City 17,TX,Returning
291,Customer 291,City 38,CA,Returning
292,Customer 292,City 24,IL,VIP
293,Customer 293,City 19,NY,Returning
294,Customer 294,City 40,WA,Returning
295,Customer 295,City 50,NY,VIP
296,Customer 296,City 9,GA,New
297,Customer 297,City 17,NY,Returning
298,Customer 298,City 8,NY,New
299,Customer 299,City 43,MO,VIP
300,Customer 300,City 33,IL,New
301,Customer 301,City 11,NY,VIP
302,Customer 302,City 17,FL,New
303,Customer 303,City 9,MO,New
304,Customer 304,City 4,TX,VIP
305,Customer 305,City 4,GA,VIP
306,Customer 306,City 30,NY,Returning
307,Customer 307,City 27,WA,VIP
308,Customer 308,City 17,NY,Returning
309,Customer 309,City 28,TX,VIP
310,Customer 310,City 28,MO,Returning
311,Customer 311,City 36,MO,Returning
312,Customer 312,City 44,FL,New
313,Customer 313,City 47,NY,New
314,Customer 314,City 38,IL,Returning
315,Customer 315,City 22,TX,Returning
316,Customer 316,City 3,WA,Returning
317,Customer 317,City 37,NY,VIP
318,Customer 318,City 23,WA,VIP
319,Customer 319,City 41,FL,VIP
320,Customer 320,City 8,TX,VIP
321,Customer 321,City 7,IL,New
322,Customer 322,City 31,TX,Returning
323,Customer 323,City 17,NY,New
324,Customer 324,City 11,NY,Returning
325,Customer 325,City 21,GA,VIP
326,Customer 326,City 34,FL,VIP
327,Customer 327,City 29,WA,Returning
328,Customer 328,City 27,TX,VIP
329,Customer 329,City 1,NY,Returning
330,Customer 330,City 36,MO,Returning
331,Customer 331,City 14,NY,New
332,Customer 332,City 2,IL,Returning
333,Customer 333,City 8,WA,New
334,Customer 334,City 5,NY,Returning
335,Customer 335,City 6,MO,Returning
336,Customer 336,City 24,FL,New
337,Customer 337,City 41,GA,Returning
338,Customer 338,City 38,TX,New
339,Customer 339,City 24,IL,New
340,Customer 340,City 44,FL,Returning
341,Customer 341,City 26,CA,New
342,Customer 342,City 1,IL,VIP
343,Customer 343,City 50,MO,Returning
344,Customer 344,City 20,TX,Returning
345,Customer 345,City 4,NY,VIP
346,Customer 346,City 33,WA,New
347,Customer 347,City 27,GA,New
348,Customer 348,City 2,TX,VIP
349,Customer 349,City 3,NY,VIP
350,Customer 350,City 12,GA,VIP
351,Customer 351,City 35,FL,New
352,Customer 352,City 26,MO,VIP
353,Customer 353,City 31,NY,Returning
354,Customer 354,City 27,WA,New
355,Customer 355,City 45,MO,New
356,Customer 356,City 4,CA,New
357,Customer 357,City 44,FL,New
358,Customer 358,City 16,MO,Returning
359,Customer 359,City 12,FL,Returning
360,Customer 360,City 2,FL,New
361,Customer 361,City 5,FL,New
362,Customer 362,City 28,WA,New
363,Customer 363,City 20,NY,VIP
364,Customer 364,City 20,FL,VIP
365,Customer 365,City 14,CA,Returning
366,Customer 366,City 10,IL,New
367,Customer 367,City 39,IL,New
368,Customer 368,City 11,GA,Returning
369,Customer 369,City 1,GA,VIP
370,Customer 370,City 38,CA,VIP
371,Customer 371,City 30,FL,VIP
372,Customer 372,City 12,MO,VIP
373,Customer 373,City 34,IL,VIP
374,Customer 374,City 21,WA,VIP
375,Customer 375,City 32,CA,New
376,Customer 376,City 1,NY,Returning
377,Customer 377,City 41,FL,New
378,Customer 378,City 18,GA,VIP
379,Customer 379,City 7,NY,VIP
380,Customer 380,City 43,MO,VIP
381,Customer 381,City 31,CA,Returning
382,Customer 382,City 18,CA,Returning
383,Customer 383,City 48,IL,Returning
384,Customer 384,City 2,WA,Returning
385,Customer 385,City 11,NY,VIP
386,Customer 386,City 13,IL,VIP
387,Customer 387,City 29,IL,VIP
388,Customer 388,City 4,GA,Returning
389,Customer 389,City 27,IL,Returning
390,Customer 390,City 1,GA,Returning
391,Customer 391,City 47,NY,VIP
392,Customer 392,City 13,WA,Returning
393,Customer 393,City 35,IL,Returning
394,Customer 394,City 17,NY,VIP
395,Customer 395,City 41,FL,New
396,Customer 396,City 27,CA,Returning
397,Customer 397,City 8,MO,Returning
398,Customer 398,City 30,MO,New
399,Customer 399,City 10,FL,Returning
400,Customer 400,City 45,GA,New
401,Customer 401,City 27,GA,Returning
402,Customer 402,City 20,CA,VIP
403,Customer 403,City 5,IL,New
404,Customer 404,City 23,NY,Returning
405,Customer 405,City 13,FL,Returning
406,Customer 406,City 46,WA,VIP
407,Customer 407,City 16,TX,New
408,Customer 408,City 49,MO,VIP
409,Customer 409,City 31,CA,New
410,Customer 410,City 19,WA,VIP
411,Customer 411,City 49,FL,New
412,Customer 412,City 13,IL,Returning
413,Customer 413,City 50,NY,Returning
414,Customer 414,City 46,NY,VIP
415,Customer 415,City 37,TX,Returning
416,Customer 416,City 4,NY,VIP
417,Customer 417,City 15,WA,Returning
418,Customer 418,City 8,FL,VIP
419,Customer 419,City 20,FL,VIP
420,Customer 420,City 9,NY,VIP
421,Customer 421,City 47,TX,VIP
422,Customer 422,City 34,FL,Returning
423,Customer 423,City 28,WA,New
424,Customer 424,City 22,MO,New
425,Customer 425,City 31,GA,New
426,Customer 426,City 29,NY,New
427,Customer 427,City 50,CA,Returning
428,Customer 428,City 23,NY,Returning
429,Customer 429,City 21,FL,VIP
430,Customer 430,City 31,TX,New
431,Customer 431,City 35,MO,VIP
432,Customer 432,City 16,FL,Returning
433,Customer 433,City 38,NY,Returning
434,Customer 434,City 50,GA,New
435,Customer 435,City 6,CA,Returning
436,Customer 436,City 42,NY,New
437,Customer 437,City 43,NY,VIP
438,Customer 438,City 39,WA,VIP
439,Customer 439,City 13,TX,Returning
440,Customer 440,City 31,WA,VIP
441,Customer 441,City 16,CA,New
442,Customer 442,City 26,FL,Returning
443,Customer 443,City 37,NY,VIP
444,Customer 444,City 7,CA,Returning
445,Customer 445,City 33,FL,VIP
446,Customer 446,City 19,WA,Returning
447,Customer 447,City 41,MO,VIP
448,Customer 448,City 37,GA,VIP
449,Customer 449,City 30,GA,New
450,Customer 450,City 30,FL,New
451,Customer 451,City 38,FL,VIP
452,Customer 452,City 1,NY,New
453,Customer 453,City 21,MO,New
454,Customer 454,City 25,WA,VIP
455,Customer 455,City 36,FL,VIP
456,Customer 456,City 6,NY,New
457,Customer 457,City 2,FL,VIP
458,Customer 458,City 50,MO,New
459,Customer 459,City 18,NY,New
460,Customer 460,City 44,TX,Returning
461,Customer 461,City 9,NY,VIP
462,Customer 462,City 10,TX,VIP
463,Customer 463,City 9,NY,Returning
464,Customer 464,City 26,FL,VIP
465,Customer 465,City 40,GA,VIP
466,Customer 466,City 17,WA,Returning
467,Customer 467,City 10,FL,Returning
468,Customer 468,City 11,IL,New
469,Customer 469,City 13,NY,New
470,Customer 470,City 50,NY,Returning
471,Customer 471,City 27,IL,Returning
472,Customer 472,City 13,FL,New
473,Customer 473,City 4,WA,New
474,Customer 474,City 19,CA,Returning
475,Customer 475,City 21,CA,Returning
476,Customer 476,City 8,NY,VIP
477,Customer 477,City 16,TX,VIP
478,Customer 478,City 39,NY,New
479,Customer 479,City 28,FL,Returning
480,Customer 480,City 11,MO,Returning
481,Customer 481,City 39,FL,VIP
482,Customer 482,City 18,MO,Returning
483,Customer 483,City 43,MO,New
484,Customer 484,City 36,FL,New
485,Customer 485,City 48,MO,Returning
486,Customer 486,City 10,TX,VIP
487,Customer 487,City 17,IL,Returning
488,Customer 488,City 20,WA,VIP
489,Customer 489,City 16,GA,Returning
490,Customer 490,City 31,WA,New
491,Customer 491,City 2,TX,VIP
492,Customer 492,City 46,WA,VIP
493,Customer 493,City 8,FL,New
494,Customer 494,City 10,CA,Returning
495,Customer 495,City 39,WA,New
496,Customer 496,City 30,TX,Returning
497,Customer 497,City 46,FL,New
498,Customer 498,City 4,GA,VIP
499,Customer 499,City 15,FL,New
500,Customer 500,City 30,CA,New
