order_date,state,segment,title,quantity,total_price
2025-11-20,TX,Returning,Potatoes,3,6.87
2025-11-20,TX,Returning,Kitchen Sieve,2,15.98
2025-11-20,WA,VIP,Green Bell Pepper,3,3.87
2025-11-20,WA,VIP,Spoon,1,4.99
2025-11-20,WA,VIP,Longines Master Collection,3,4499.97
2025-11-20,GA,New,Longines Master Collection,3,4499.97
2025-11-20,GA,New,Dior J'adore,2,179.98
2025-11-20,GA,New,Essence Mascara Lash Princess,1,9.99
2025-11-20,GA,New,Black Whisk,2,19.98
2025-11-20,FL,Returning,Kiwi,3,7.47
2025-11-20,WA,Returning,Fine Mesh Strainer,1,9.99
2025-11-20,WA,Returning,Apple Airpods,2,259.98
2025-11-20,WA,Returning,Carbon Steel Wok,1,29.99
2025-11-20,WA,Returning,Microwave Oven,3,269.97
2025-11-20,TX,Returning,Strawberry,1,3.99
2025-11-20,TX,Returning,Red Nail Polish,3,26.97
2025-11-20,MO,Returning,Amazon Echo Plus,3,299.97
2025-11-20,MO,Returning,Man Short Sleeve Shirt,3,59.97
2025-11-20,MO,Returning,Lunch Box,3,38.97
2025-11-20,MO,Returning,Knoll Saarinen Executive Conference Chair,2,999.98
2025-11-20,MO,Returning,Red Tongs,1,6.99
2025-11-20,CA,Returning,Cucumber,1,1.49
2025-11-20,CA,Returning,Apple,2,3.98
2025-11-20,CA,Returning,Water,2,1.98
2025-11-20,GA,New,Lenovo Yoga 920,2,2199.98
2025-11-20,GA,New,Microwave Oven,1,89.99
2025-11-20,GA,New,Brown Leather Belt Watch,3,269.97
2025-11-20,GA,New,Tray,1,16.99
2025-11-20,NY,Returning,Spoon,2,9.98
2025-11-20,NY,Returning,Spice Rack,2,39.98
2025-11-20,GA,VIP,Ice Cream,1,5.49
2025-11-20,GA,VIP,Rolex Datejust,3,32999.97
2025-11-20,GA,VIP,Plate,2,7.98
2025-11-20,GA,VIP,Boxed Blender,3,119.97
2025-11-20,MO,Returning,Black Whisk,1,9.99
2025-11-20,MO,Returning,Apple Airpods,3,389.97
2025-11-20,MO,New,Knife,1,14.99
2025-11-20,MO,New,Longines Master Collection,2,2999.98
2025-11-20,GA,VIP,Electric Stove,3,149.97
2025-11-20,GA,VIP,Green Bell Pepper,1,1.29
2025-11-20,GA,VIP,Puma Future Rider Trainers,3,269.97
2025-11-20,TX,VIP,Red Onions,1,1.99
2025-11-20,MO,Returning,Dolce Shine Eau de,3,209.97
2025-11-20,MO,Returning,Lemon,2,1.58
2025-11-20,MO,Returning,Bamboo Spatula,1,7.99
2025-11-20,NY,Returning,Knoll Saarinen Executive Conference Chair,3,1499.97
2025-11-20,TX,VIP,Soft Drinks,1,1.99
2025-11-20,TX,VIP,Black Aluminium Cup,3,17.97
2025-11-20,GA,New,Fish Steak,2,29.98
2025-11-20,GA,New,Water,1,0.99
2025-11-20,GA,New,Protein Powder,1,19.99
2025-11-20,TX,Returning,Red Tongs,3,20.97
2025-11-20,TX,Returning,Man Plaid Shirt,3,104.97
2025-11-20,TX,Returning,Essence Mascara Lash Princess,2,19.98
2025-11-20,TX,Returning,Plant Pot,2,29.98
2025-11-20,TX,Returning,Apple MacBook Pro 14 Inch Space Grey,1,1999.99
2025-11-20,TX,Returning,Gigabyte Aorus Men Tshirt,3,74.97
2025-11-20,GA,New,Carbon Steel Wok,2,59.98
2025-11-20,GA,New,Knoll Saarinen Executive Conference Chair,2,999.98
2025-11-20,GA,New,Gigabyte Aorus Men Tshirt,1,24.99
2025-11-20,FL,VIP,Citrus Squeezer Yellow,3,26.97
2025-11-20,FL,VIP,Ice Cream,3,16.47
2025-11-20,FL,VIP,Amazon Echo Plus,3,299.97
2025-11-20,FL,VIP,Black Whisk,3,29.97
2025-11-20,FL,VIP,Grater Black,2,21.98
2025-11-20,FL,VIP,Protein Powder,1,19.99
2025-11-20,NY,New,Table Lamp,2,99.98
2025-11-20,NY,New,Sports Sneakers Off White & Red,3,359.97
2025-11-20,NY,New,Wooden Bathroom Sink With Mirror,3,2399.97
2025-11-20,NY,New,Carbon Steel Wok,3,89.97
2025-11-20,GA,New,Black Whisk,3,29.97
2025-11-21,NY,New,Citrus Squeezer Yellow,1,8.99
2025-11-21,NY,New,Rolex Cellini Date Black Dial,2,17999.98
2025-11-21,WA,VIP,Lenovo Yoga 920,3,3299.97
2025-11-21,WA,VIP,Gucci Bloom Eau de,2,159.98
2025-11-21,WA,VIP,Red Tongs,2,13.98
2025-11-21,GA,VIP,Apple MacBook Pro 14 Inch Space Grey,2,3999.98
2025-11-21,MO,New,Green Bell Pepper,1,1.29
2025-11-21,MO,New,Amazon Echo Plus,3,299.97
2025-11-21,MO,New,Wooden Rolling Pin,1,11.99
2025-11-21,MO,New,Huawei Matebook X Pro,2,2799.98
2025-11-21,MO,VIP,Ice Cream,3,16.47
2025-11-21,NY,VIP,Boxed Blender,1,39.99
2025-11-21,NY,VIP,Carbon Steel Wok,2,59.98
2025-11-21,NY,VIP,Cucumber,2,2.98
2025-11-21,WA,New,Kiwi,3,7.47
2025-11-21,WA,New,Sports Sneakers Off White Red,3,329.97
2025-11-21,WA,New,Men Check Shirt,3,83.97
2025-11-21,TX,New,Black Aluminium Cup,1,5.99
2025-11-21,TX,New,Cooking Oil,2,9.98
2025-11-21,FL,VIP,Kiwi,1,2.49
2025-11-21,FL,VIP,Longines Master Collection,2,2999.98
2025-11-21,FL,VIP,Black Whisk,3,29.97
2025-11-21,WA,New,Water,1,0.99
2025-11-21,WA,New,Huawei Matebook X Pro,2,2799.98
2025-11-21,WA,New,Grater Black,3,32.97
2025-11-21,WA,New,Men Check Shirt,1,27.99
2025-11-21,CA,Returning,Green Chili Pepper,1,0.99
2025-11-21,CA,Returning,Protein Powder,2,39.98
2025-11-21,CA,Returning,Lenovo Yoga 920,1,1099.99
2025-11-21,FL,VIP,Electric Stove,2,99.98
2025-11-21,MO,New,Wooden Bathroom Sink With Mirror,3,2399.97
2025-11-21,MO,New,Chicken Meat,1,9.99
2025-11-21,MO,New,Water,3,2.97
2025-11-21,MO,New,Lenovo Yoga 920,1,1099.99
2025-11-21,TX,Returning,Knife,2,29.98
2025-11-21,TX,Returning,Citrus Squeezer Yellow,3,26.97
2025-11-21,TX,Returning,Wooden Bathroom Sink With Mirror,1,799.99
2025-11-21,IL,New,Apple Airpods,3,389.97
2025-11-21,IL,New,Family Tree Photo Frame,3,89.97
2025-11-21,IL,New,Man Plaid Shirt,3,104.97
2025-11-21,WA,New,Yellow Peeler,3,17.97
2025-11-21,WA,New,Cucumber,1,1.49
2025-11-21,IL,Returning,Men Check Shirt,2,55.98
2025-11-21,IL,Returning,Silver Pot With Glass Cap,3,119.97
2025-11-21,IL,Returning,Kitchen Sieve,3,23.97
2025-11-21,IL,Returning,Ice Cream,3,16.47
2025-11-21,WA,Returning,Annibale Colombo Bed,1,1899.99
2025-11-21,WA,Returning,Rolex Cellini Date Black Dial,3,26999.97
2025-11-21,WA,Returning,Knife,3,44.97
2025-11-21,WA,Returning,Red Tongs,3,20.97
2025-11-21,GA,New,Blue & Black Check Shirt,3,89.97
2025-11-21,MO,New,Plant Pot,3,44.97
2025-11-21,MO,New,Annibale Colombo Bed,3,5699.97
2025-11-21,MO,New,Red Onions,3,5.97
2025-11-21,FL,Returning,Plant Pot,3,44.97
2025-11-21,FL,Returning,Green Bell Pepper,3,3.87
2025-11-21,FL,Returning,Bamboo Spatula,2,15.98
2025-11-21,FL,Returning,Lunch Box,2,25.98
2025-11-21,GA,VIP,Boxed Blender,2,79.98
2025-11-21,WA,VIP,Slotted Turner,3,26.97
2025-11-21,WA,VIP,Boxed Blender,2,79.98
2025-11-21,FL,VIP,Microwave Oven,3,269.97
2025-11-21,FL,VIP,Apple MacBook Pro 14 Inch Space Grey,2,3999.98
2025-11-21,FL,VIP,Gigabyte Aorus Men Tshirt,3,74.97
2025-11-21,TX,Returning,New DELL XPS 13 9300 Laptop,1,1499.99
2025-11-21,TX,Returning,Apple Airpods,1,129.99
2025-11-21,FL,VIP,Red Tongs,3,20.97
2025-11-21,FL,VIP,Longines Master Collection,2,2999.98
2025-11-21,FL,VIP,Beef Steak,2,25.98
2025-11-21,FL,VIP,Tissue Paper Box,2,4.98
2025-11-21,TX,New,Lunch Box,3,38.97
2025-11-21,GA,VIP,Calvin Klein CK One,3,149.97
2025-11-21,WA,New,Eyeshadow Palette with Mirror,2,39.98
2025-11-21,WA,New,Plate,1,3.99
2025-11-21,WA,New,Sports Sneakers Off White Red,1,109.99
2025-11-21,WA,New,Red Onions,1,1.99
2025-11-21,CA,Returning,Rolex Cellini Moonphase,1,12999.99
2025-11-21,CA,Returning,Silver Pot With Glass Cap,1,39.99
2025-11-21,CA,Returning,Bedside Table African Cherry,3,899.97
2025-11-21,IL,VIP,Grater Black,2,21.98
2025-11-21,IL,VIP,Red Onions,2,3.98
2025-11-21,NY,VIP,Yellow Peeler,3,17.97
2025-11-21,IL,New,Huawei Matebook X Pro,3,4199.97
2025-11-21,IL,New,Carbon Steel Wok,2,59.98
2025-11-21,TX,VIP,Milk,2,6.98
2025-11-21,TX,VIP,Decoration Swing,3,179.97
2025-11-21,TX,VIP,Man Short Sleeve Shirt,3,59.97
2025-11-21,WA,New,Dior J'adore,3,269.97
2025-11-21,WA,New,Red Nail Polish,1,8.99
2025-11-21,CA,Returning,Gucci Bloom Eau de,2,159.98
2025-11-21,CA,Returning,House Showpiece Plant,2,79.98
2025-11-21,FL,New,Sports Sneakers Off White Red,2,219.98
2025-11-21,FL,New,Yellow Peeler,1,5.99
2025-11-21,FL,New,Red Onions,1,1.99
2025-11-21,FL,New,Brown Leather Belt Watch,1,89.99
2025-11-21,FL,Returning,Chanel Coco Noir Eau De,2,259.98
2025-11-21,IL,New,Rolex Cellini Moonphase,1,12999.99
2025-11-21,IL,New,Kiwi,2,4.98
2025-11-21,IL,New,Rice,3,17.97
2025-11-21,FL,Returning,Wooden Rolling Pin,1,11.99
2025-11-21,FL,Returning,Nike Air Jordan 1 Red And Black,1,149.99
2025-11-21,FL,Returning,Fine Mesh Strainer,1,9.99
2025-11-21,GA,Returning,Eggs,3,8.97
2025-11-21,GA,Returning,Huawei Matebook X Pro,2,2799.98
2025-11-21,GA,Returning,Potatoes,2,4.58
2025-11-21,GA,Returning,Longines Master Collection,2,2999.98
2025-11-21,TX,New,Red Nail Polish,3,26.97
2025-11-21,TX,New,Fork,2,7.98
2025-11-21,TX,New,Dog Food,3,32.97
2025-11-21,NY,Returning,Ice Cube Tray,3,17.97
2025-11-21,NY,Returning,Rice,3,17.97
2025-11-21,NY,New,Green Chili Pepper,3,2.97
2025-11-21,NY,New,Strawberry,1,3.99
2025-11-21,IL,New,Dior J'adore,3,269.97
2025-11-21,IL,New,Citrus Squeezer Yellow,2,17.98
2025-11-21,IL,New,Annibale Colombo Bed,2,3799.98
2025-11-21,IL,New,Black Whisk,1,9.99
2025-11-21,FL,VIP,Green Bell Pepper,2,2.58
2025-11-21,IL,New,Calvin Klein CK One,2,99.98
2025-11-21,IL,New,Essence Mascara Lash Princess,2,19.98
2025-11-21,IL,New,Milk,2,6.98
2025-11-21,IL,New,Brown Leather Belt Watch,3,269.97
2025-11-21,IL,VIP,Wooden Rolling Pin,2,23.98
2025-11-21,IL,VIP,New DELL XPS 13 9300 Laptop,1,1499.99
2025-11-21,GA,New,Electric Stove,3,149.97
2025-11-21,GA,New,Man Short Sleeve Shirt,3,59.97
2025-11-21,GA,New,Chopping Board,2,25.98
2025-11-21,GA,New,Rolex Submariner Watch,2,27999.98
2025-11-21,GA,New,Mulberry,2,9.98
2025-11-21,GA,New,Apple Airpods,3,389.97
2025-11-21,NY,VIP,Apple Airpods,2,259.98
2025-11-21,NY,VIP,Nike Baseball Cleats,2,159.98
2025-11-21,GA,New,Ice Cream,2,10.98
2025-11-21,GA,New,Dolce Shine Eau de,3,209.97
2025-11-21,GA,New,Knife,1,14.99
2025-11-21,GA,New,Silver Pot With Glass Cap,2,79.98
2025-11-22,MO,Returning,Water,3,2.97
2025-11-22,MO,Returning,Rice,2,11.98
2025-11-22,MO,Returning,Sports Sneakers Off White Red,3,329.97
2025-11-22,MO,Returning,Glass,1,4.99
2025-11-22,GA,VIP,Puma Future Rider Trainers,3,269.97
2025-11-22,GA,VIP,Table Lamp,1,49.99
2025-11-22,GA,VIP,Hand Blender,1,34.99
2025-11-22,GA,VIP,Red Nail Polish,2,17.98
2025-11-22,GA,VIP,Protein Powder,3,59.97
2025-11-22,GA,VIP,Mulberry,3,14.97
2025-11-22,IL,Returning,Nike Baseball Cleats,1,79.99
2025-11-22,IL,Returning,Annibale Colombo Sofa,1,2499.99
2025-11-22,IL,Returning,Essence Mascara Lash Princess,3,29.97
2025-11-22,IL,Returning,Soft Drinks,3,5.97
2025-11-22,GA,New,Chanel Coco Noir Eau De,3,389.97
2025-11-22,GA,New,Bedside Table African Cherry,1,299.99
2025-11-22,NY,VIP,Yellow Peeler,3,17.97
2025-11-22,NY,VIP,Beef Steak,3,38.97
2025-11-22,IL,VIP,Nescafe Coffee,1,7.99
2025-11-22,IL,VIP,Slotted Turner,2,17.98
2025-11-22,IL,VIP,Milk,1,3.49
2025-11-22,IL,VIP,Wooden Bathroom Sink With Mirror,2,1599.98
2025-11-22,NY,Returning,Man Short Sleeve Shirt,2,39.98
2025-11-22,NY,Returning,Red Tongs,1,6.99
2025-11-22,NY,Returning,Ice Cube Tray,2,11.98
2025-11-22,WA,Returning,Kiwi,2,4.98
2025-11-22,WA,Returning,Gucci Bloom Eau de,3,239.97
2025-11-22,WA,Returning,Fork,2,7.98
2025-11-22,WA,Returning,Lunch Box,1,12.99
2025-11-22,TX,Returning,Lunch Box,2,25.98
2025-11-22,TX,Returning,Table Lamp,3,149.97
2025-11-22,NY,New,Puma Future Rider Trainers,3,269.97
2025-11-22,NY,New,Sports Sneakers Off White & Red,3,359.97
2025-11-22,NY,New,Chopping Board,2,25.98
2025-11-22,CA,Returning,Microwave Oven,2,179.98
2025-11-22,CA,Returning,Tissue Paper Box,3,7.47
2025-11-22,CA,Returning,Tray,2,33.98
2025-11-22,CA,Returning,Annibale Colombo Bed,1,1899.99
2025-11-22,FL,New,Brown Leather Belt Watch,1,89.99
2025-11-22,WA,Returning,Man Short Sleeve Shirt,3,59.97
2025-11-22,TX,Returning,Rolex Cellini Date Black Dial,3,26999.97
2025-11-22,TX,Returning,Black Whisk,2,19.98
2025-11-22,TX,Returning,Sports Sneakers Off White Red,1,109.99
2025-11-22,NY,VIP,Bamboo Spatula,2,15.98
2025-11-22,NY,VIP,Asus Zenbook Pro Dual Screen Laptop,1,1799.99
2025-11-22,FL,New,Chanel Coco Noir Eau De,1,129.99
2025-11-22,FL,New,Huawei Matebook X Pro,1,1399.99
2025-11-22,NY,Returning,Asus Zenbook Pro Dual Screen Laptop,1,1799.99
2025-11-22,GA,New,Plate,1,3.99
2025-11-22,GA,New,Red Nail Polish,2,17.98
2025-11-22,GA,New,Knife,3,44.97
2025-11-22,GA,New,Chanel Coco Noir Eau De,3,389.97
2025-11-22,IL,Returning,Rolex Cellini Moonphase,3,38999.97
2025-11-22,IL,Returning,Spice Rack,1,19.99
2025-11-22,IL,Returning,House Showpiece Plant,1,39.99
2025-11-22,IL,Returning,Green Bell Pepper,1,1.29
2025-11-22,GA,New,Mug Tree Stand,3,47.97
2025-11-22,GA,New,Man Short Sleeve Shirt,1,19.99
2025-11-22,GA,New,Green Bell Pepper,2,2.58
2025-11-22,GA,New,Carbon Steel Wok,3,89.97
2025-11-22,MO,VIP,Grater Black,2,21.98
2025-11-22,MO,VIP,Longines Master Collection,1,1499.99
2025-11-22,MO,VIP,Slotted Turner,2,17.98
2025-11-22,MO,VIP,Ice Cream,3,16.47
2025-11-22,MO,VIP,Wooden Bathroom Sink With Mirror,2,1599.98
2025-11-22,MO,VIP,Red Lipstick,2,25.98
2025-11-22,MO,VIP,Bedside Table African Cherry,3,899.97
2025-11-22,MO,VIP,Knife,2,29.98
2025-11-22,CA,VIP,Fish Steak,1,14.99
2025-11-22,CA,VIP,Egg Slicer,2,13.98
2025-11-22,GA,VIP,Yellow Peeler,3,17.97
2025-11-22,CA,VIP,Decoration Swing,2,119.98
2025-11-22,CA,VIP,Rolex Submariner Watch,2,27999.98
2025-11-22,CA,VIP,Juice,1,3.99
2025-11-22,CA,VIP,Nike Air Jordan 1 Red And Black,2,299.98
2025-11-22,WA,VIP,Nike Baseball Cleats,3,239.97
2025-11-22,WA,VIP,Annibale Colombo Bed,1,1899.99
2025-11-22,MO,Returning,Protein Powder,1,19.99
2025-11-22,MO,Returning,Water,2,1.98
2025-11-22,MO,Returning,Kitchen Sieve,3,23.97
2025-11-22,TX,Returning,Potatoes,3,6.87
2025-11-22,IL,New,Cooking Oil,2,9.98
2025-11-22,IL,New,Honey Jar,3,20.97
2025-11-22,IL,New,Blue & Black Check Shirt,3,89.97
2025-11-22,GA,VIP,Tissue Paper Box,3,7.47
2025-11-22,IL,Returning,Kiwi,1,2.49
2025-11-22,IL,Returning,Gucci Bloom Eau de,1,79.99
2025-11-22,IL,Returning,Red Tongs,2,13.98
2025-11-22,IL,Returning,Fish Steak,3,44.97
2025-11-22,CA,New,Bedside Table African Cherry,1,299.99
2025-11-22,IL,New,Kiwi,1,2.49
2025-11-22,IL,New,New DELL XPS 13 9300 Laptop,1,1499.99
2025-11-22,IL,New,House Showpiece Plant,2,79.98
2025-11-22,IL,New,Bedside Table African Cherry,1,299.99
2025-11-22,CA,New,Black Aluminium Cup,3,17.97
2025-11-22,CA,New,Spoon,3,14.97
2025-11-22,GA,New,Black Whisk,1,9.99
2025-11-22,TX,New,Longines Master Collection,3,4499.97
2025-11-22,TX,New,Milk,2,6.98
2025-11-22,TX,New,Lenovo Yoga 920,1,1099.99
2025-11-22,TX,New,Water,2,1.98
2025-11-22,FL,Returning,Green Bell Pepper,3,3.87
2025-11-22,TX,Returning,Knife,2,29.98
2025-11-22,TX,Returning,Cucumber,1,1.49
2025-11-22,TX,Returning,Mug Tree Stand,3,47.97
2025-11-22,TX,Returning,Protein Powder,3,59.97
2025-11-22,WA,New,Soft Drinks,2,3.98
2025-11-22,TX,VIP,Bamboo Spatula,3,23.97
2025-11-22,TX,VIP,Longines Master Collection,2,2999.98
2025-11-22,TX,VIP,Boxed Blender,1,39.99
2025-11-22,GA,Returning,Blue & Black Check Shirt,2,59.98
2025-11-22,GA,Returning,Lenovo Yoga 920,2,2199.98
2025-11-22,GA,Returning,Bedside Table African Cherry,3,899.97
2025-11-22,WA,Returning,Knife,2,29.98
2025-11-22,WA,Returning,Rolex Cellini Moonphase,3,38999.97
2025-11-22,WA,Returning,Red Lipstick,1,12.99
2025-11-22,FL,Returning,Cat Food,2,17.98
2025-11-22,FL,Returning,Carbon Steel Wok,1,29.99
2025-11-22,FL,Returning,Apple Airpods,3,389.97
2025-11-22,NY,VIP,Annibale Colombo Bed,2,3799.98
2025-11-22,FL,VIP,Yellow Peeler,1,5.99
2025-11-22,FL,VIP,Knoll Saarinen Executive Conference Chair,2,999.98
2025-11-22,FL,VIP,Red Nail Polish,1,8.99
2025-11-22,FL,VIP,Man Short Sleeve Shirt,2,39.98
2025-11-22,GA,New,Microwave Oven,1,89.99
2025-11-22,GA,New,Fork,1,3.99
2025-11-22,CA,Returning,Fine Mesh Strainer,2,19.98
2025-11-22,CA,Returning,Man Short Sleeve Shirt,2,39.98
2025-11-22,WA,New,Sports Sneakers Off White Red,1,109.99
2025-11-22,WA,New,Black Whisk,1,9.99
2025-11-22,WA,New,Knife,3,44.97
2025-11-22,IL,New,Dolce Shine Eau de,1,69.99
2025-11-22,IL,New,Green Bell Pepper,2,2.58
2025-11-22,IL,New,Apple Airpods,3,389.97
2025-11-22,IL,New,Dior J'adore,3,269.97
2025-11-22,FL,New,Gucci Bloom Eau de,3,239.97
2025-11-22,FL,New,Juice,3,11.97
2025-11-22,TX,Returning,Soft Drinks,3,5.97
2025-11-22,TX,Returning,Dog Food,1,10.99
2025-11-22,NY,VIP,New DELL XPS 13 9300 Laptop,2,2999.98
2025-11-22,NY,VIP,Apple,2,3.98
2025-11-22,GA,New,Apple,3,5.97
2025-11-22,GA,New,Tissue Paper Box,3,7.47
2025-11-22,WA,VIP,Water,3,2.97
2025-11-22,WA,VIP,Dior J'adore,3,269.97
2025-11-22,WA,VIP,Longines Master Collection,1,1499.99
2025-11-22,MO,Returning,Honey Jar,3,20.97
2025-11-22,NY,New,Water,1,0.99
2025-11-22,CA,New,Puma Future Rider Trainers,2,179.98
2025-11-22,TX,New,Beef Steak,1,12.99
2025-11-22,TX,New,Citrus Squeezer Yellow,2,17.98
2025-11-22,TX,New,Family Tree Photo Frame,1,29.99
2025-11-22,TX,New,Ice Cream,2,10.98
2025-11-22,WA,VIP,Nescafe Coffee,2,15.98
2025-11-22,WA,VIP,Bamboo Spatula,1,7.99
2025-11-22,WA,VIP,Red Tongs,3,20.97
2025-11-22,WA,VIP,Rice,2,11.98
2025-11-22,FL,Returning,Decoration Swing,3,179.97
2025-11-22,TX,VIP,Cat Food,1,8.99
2025-11-22,TX,VIP,Wooden Rolling Pin,3,35.97
2025-11-22,NY,New,Ice Cream,3,16.47
2025-11-22,NY,New,Amazon Echo Plus,1,99.99
2025-11-22,NY,New,Sports Sneakers Off White & Red,2,239.98
2025-11-22,NY,New,Gigabyte Aorus Men Tshirt,3,74.97
2025-11-22,NY,VIP,Water,3,2.97
2025-11-22,CA,VIP,Annibale Colombo Sofa,2,4999.98
2025-11-22,CA,VIP,Sports Sneakers Off White & Red,2,239.98
2025-11-22,CA,VIP,Gucci Bloom Eau de,1,79.99
2025-11-22,MO,New,Rolex Submariner Watch,2,27999.98
2025-11-22,MO,New,Knoll Saarinen Executive Conference Chair,1,499.99
2025-11-22,MO,New,Rice,3,17.97
2025-11-22,FL,VIP,Amazon Echo Plus,3,299.97
2025-11-22,FL,VIP,Cat Food,3,26.97
2025-11-22,IL,VIP,Carbon Steel Wok,1,29.99
2025-11-22,MO,New,Wooden Bathroom Sink With Mirror,3,2399.97
2025-11-22,MO,New,Sports Sneakers Off White Red,3,329.97
2025-11-22,MO,New,Chicken Meat,1,9.99
2025-11-22,MO,New,Lemon,3,2.37
2025-11-23,GA,New,Rice,2,11.98
2025-11-23,CA,New,Kitchen Sieve,2,15.98
2025-11-23,CA,New,Chicken Meat,2,19.98
2025-11-23,WA,Returning,Kiwi,3,7.47
2025-11-23,WA,Returning,Plant Pot,3,44.97
2025-11-23,WA,Returning,Plate,2,7.98
2025-11-23,TX,New,Sports Sneakers Off White Red,3,329.97
2025-11-23,TX,New,Glass,2,9.98
2025-11-23,TX,New,Rolex Datejust,1,10999.99
2025-11-23,TX,VIP,Huawei Matebook X Pro,1,1399.99
2025-11-23,TX,VIP,Cooking Oil,3,14.97
2025-11-23,TX,VIP,Knoll Saarinen Executive Conference Chair,3,1499.97
2025-11-23,TX,VIP,Beef Steak,3,38.97
2025-11-23,TX,VIP,Powder Canister,2,29.98
2025-11-23,TX,VIP,Lemon,1,0.79
2025-11-23,TX,VIP,Juice,1,3.99
2025-11-23,TX,VIP,Calvin Klein CK One,3,149.97
2025-11-23,MO,Returning,Black Aluminium Cup,1,5.99
2025-11-23,MO,Returning,Nike Air Jordan 1 Red And Black,3,449.97
2025-11-23,MO,Returning,Decoration Swing,1,59.99
2025-11-23,WA,New,Man Short Sleeve Shirt,1,19.99
2025-11-23,TX,New,Apple MacBook Pro 14 Inch Space Grey,2,3999.98
2025-11-23,TX,New,Decoration Swing,2,119.98
2025-11-23,IL,New,Microwave Oven,2,179.98
2025-11-23,TX,VIP,Egg Slicer,1,6.99
2025-11-23,TX,VIP,Brown Leather Belt Watch,3,269.97
2025-11-23,TX,VIP,Kitchen Sieve,2,15.98
2025-11-23,TX,VIP,House Showpiece Plant,2,79.98
2025-11-23,WA,VIP,Longines Master Collection,2,2999.98
2025-11-23,FL,New,Citrus Squeezer Yellow,2,17.98
2025-11-23,IL,VIP,Fine Mesh Strainer,1,9.99
2025-11-23,TX,VIP,Eyeshadow Palette with Mirror,1,19.99
2025-11-23,TX,VIP,Protein Powder,1,19.99
2025-11-23,TX,VIP,Tray,3,50.97
2025-11-23,TX,VIP,Green Chili Pepper,3,2.97
2025-11-23,FL,New,Carbon Steel Wok,3,89.97
