product_id,title,category,brand,price,rating,stock
47,Table Lamp,home-decoration,Unknown,49.99,3.55,9
48,Bamboo Spatula,kitchen-accessories,Unknown,7.99,3.27,37
49,Black Aluminium Cup,kitchen-accessories,Unknown,5.99,4.46,75
50,Black Whisk,kitchen-accessories,Unknown,9.99,3.9,73
51,Boxed Blender,kitchen-accessories,Unknown,39.99,4.56,9
52,Carbon Steel Wok,kitchen-accessories,Unknown,29.99,4.05,40
53,Chopping Board,kitchen-accessories,Unknown,12.99,3.7,14
54,Citrus Squeezer Yellow,kitchen-accessories,Unknown,8.99,4.63,22
55,Egg Slicer,kitchen-accessories,Unknown,6.99,3.09,40
56,Electric Stove,kitchen-accessories,Unknown,49.99,4.11,21
57,Fine Mesh Strainer,kitchen-accessories,Unknown,9.99,3.04,85
58,Fork,kitchen-accessories,Unknown,3.99,3.11,7
59,Glass,kitchen-accessories,Unknown,4.99,4.02,46
60,Grater Black,kitchen-accessories,Unknown,10.99,3.21,84
61,Hand Blender,kitchen-accessories,Unknown,34.99,3.86,84
62,Ice Cube Tray,kitchen-accessories,Unknown,5.99,4.71,13
63,Kitchen Sieve,kitchen-accessories,Unknown,7.99,3.09,68
64,Knife,kitchen-accessories,Unknown,14.99,3.26,7
65,Lunch Box,kitchen-accessories,Unknown,12.99,4.93,94
66,Microwave Oven,kitchen-accessories,Unknown,89.99,4.82,59
67,Mug Tree Stand,kitchen-accessories,Unknown,15.99,2.64,88
68,Pan,kitchen-accessories,Unknown,24.99,2.79,90
69,Plate,kitchen-accessories,Unknown,3.99,3.65,66
70,Red Tongs,kitchen-accessories,Unknown,6.99,4.42,82
71,Silver Pot With Glass Cap,kitchen-accessories,Unknown,39.99,3.22,40
72,Slotted Turner,kitchen-accessories,Unknown,8.99,3.4,88
73,Spice Rack,kitchen-accessories,Unknown,19.99,4.87,79
74,Spoon,kitchen-accessories,Unknown,4.99,4.03,59
75,Tray,kitchen-accessories,Unknown,16.99,4.62,71
76,Wooden Rolling Pin,kitchen-accessories,Unknown,11.99,2.92,80
77,Yellow Peeler,kitchen-accessories,Unknown,5.99,4.24,35
78,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99,3.65,24
79,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99,3.95,45
80,Huawei Matebook X Pro,laptops,Huawei,1399.99,4.98,75
81,Lenovo Yoga 920,laptops,Lenovo,1099.99,2.86,40
82,New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99,2.67,74
83,Blue & Black Check Shirt,mens-shirts,Fashion Trends,29.99,3.64,38
84,Gigabyte Aorus Men Tshirt,mens-shirts,Gigabyte,24.99,3.18,90
85,Man Plaid Shirt,mens-shirts,Classic Wear,34.99,3.46,82
86,Man Short Sleeve Shirt,mens-shirts,Casual Comfort,19.99,2.9,2
87,Men Check Shirt,mens-shirts,Urban Chic,27.99,2.72,95
88,Nike Air Jordan 1 Red And Black,mens-shoes,Nike,149.99,4.77,7
89,Nike Baseball Cleats,mens-shoes,Nike,79.99,3.88,12
90,Puma Future Rider Trainers,mens-shoes,Puma,89.99,4.9,90
91,Sports Sneakers Off White & Red,mens-shoes,Off White,119.99,4.77,17
92,Sports Sneakers Off White Red,mens-shoes,Off White,109.99,4.69,62
93,Brown Leather Belt Watch,mens-watches,Fashion Timepieces,89.99,4.19,32
94,Longines Master Collection,mens-watches,Longines,1499.99,3.87,100
95,Rolex Cellini Date Black Dial,mens-watches,Rolex,8999.99,4.97,40
96,Rolex Cellini Moonphase,mens-watches,Rolex,12999.99,2.58,36
97,Rolex Datejust,mens-watches,Rolex,10999.99,3.66,86
98,Rolex Submariner Watch,mens-watches,Rolex,13999.99,2.69,55
99,Amazon Echo Plus,mobile-accessories,Amazon,99.99,4.99,61
100,Apple Airpods,mobile-accessories,Apple,129.99,4.15,67
